product_id,category,subcategory,product_name,material,color,style,list_price_eur,gross_margin_pct,launch_date,lifecycle_status,shipping_class,return_risk
P070,Büro,Schreibtisch,Minimalistisch Schreibtisch 71,Metall,Schwarz,Skandinavisch,717,0.42,2023-09-30,Auslaufmodell,Sperrgut,mittel
P071,Büro,Monitorständer,Industrial Monitorständer 72,Stoff,Schwarz,Industrial,49,0.43,2024-09-02,aktiv,Sperrgut,niedrig
P072,Büro,Regal,Skandinavisch Regal 73,Eiche furniert,Blau,Skandinavisch,466,0.31,2023-03-12,aktiv,Sperrgut,mittel
P073,Büro,Rollcontainer,Modern Rollcontainer 74,Massivholz,Eiche,Modern,107,0.31,2023-12-28,Auslaufmodell,Sperrgut,niedrig
P074,Büro,Schreibtisch,Landhaus Schreibtisch 75,Leder,Schwarz,Modern,678,0.27,2024-06-20,Neu,Paket,mittel
P075,Büro,Regal,Skandinavisch Regal 76,Massivholz,Grün,Landhaus,754,0.35,2025-11-18,aktiv,Paket,hoch
P076,Büro,Schreibtisch,Landhaus Schreibtisch 77,Glas,Blau,Industrial,651,0.27,2025-01-13,aktiv,Spedition,hoch
P077,Büro,Regal,Landhaus Regal 78,Bouclé,Blau,Minimalistisch,594,0.44,2023-12-30,Neu,Sperrgut,mittel
P078,Büro,Bürostuhl,Skandinavisch Bürostuhl 79,Leder,Grün,Skandinavisch,737,0.33,2025-09-22,Auslaufmodell,Spedition,mittel
P079,Büro,Monitorständer,Industrial Monitorständer 80,Bouclé,Anthrazit,Skandinavisch,132,0.24,2024-05-20,Neu,Spedition,niedrig
P080,Büro,Regal,Skandinavisch Regal 81,Massivholz,Beige,Skandinavisch,256,0.24,2025-08-14,Neu,Sperrgut,mittel
P081,Wohnaccessoires,Lampe,Minimalistisch Lampe 82,Metall,Grün,Landhaus,366,0.45,2025-03-31,aktiv,Spedition,mittel
P082,Wohnaccessoires,Teppich,Landhaus Teppich 83,Bouclé,Grau,Industrial,672,0.52,2025-11-08,aktiv,Paket,hoch
P083,Wohnaccessoires,Dekokissen,Skandinavisch Dekokissen 84,MDF,Weiß,Modern,72,0.37,2025-11-05,Neu,Paket,mittel
P084,Wohnaccessoires,Lampe,Landhaus Lampe 85,Metall,Walnuss,Landhaus,73,0.62,2023-06-13,Neu,Paket,mittel
P085,Wohnaccessoires,Vorhang,Modern Vorhang 86,Glas,Beige,Landhaus,64,0.54,2025-12-06,aktiv,Spedition,mittel
P086,Wohnaccessoires,Spiegel,Landhaus Spiegel 87,Eiche furniert,Grau,Landhaus,80,0.47,2023-06-21,aktiv,Spedition,mittel
P087,Wohnaccessoires,Vorhang,Industrial Vorhang 88,Eiche furniert,Weiß,Modern,93,0.53,2025-11-08,aktiv,Paket,niedrig
P088,Wohnaccessoires,Dekokissen,Minimalistisch Dekokissen 89,Leder,Grün,Landhaus,46,0.5,2025-03-06,aktiv,Sperrgut,hoch
P089,Wohnaccessoires,Spiegel,Industrial Spiegel 90,Metall,Grau,Skandinavisch,369,0.56,2023-09-08,aktiv,Paket,hoch
P090,Wohnaccessoires,Teppich,Landhaus Teppich 91,Stoff,Blau,Landhaus,437,0.46,2023-11-04,Auslaufmodell,Spedition,mittel
P091,Wohnaccessoires,Vorhang,Industrial Vorhang 92,Massivholz,Grau,Modern,69,0.37,2023-04-01,aktiv,Spedition,hoch
P092,Wohnaccessoires,Lampe,Modern Lampe 93,Metall,Walnuss,Modern,169,0.55,2024-08-18,aktiv,Sperrgut,mittel
P093,Wohnaccessoires,Spiegel,Modern Spiegel 94,Metall,Weiß,Modern,184,0.59,2025-03-30,aktiv,Paket,mittel
P094,Wohnaccessoires,Lampe,Skandinavisch Lampe 95,Metall,Blau,Modern,58,0.51,2024-06-03,aktiv,Spedition,hoch
P095,Wohnaccessoires,Lampe,Industrial Lampe 96,Eiche furniert,Grün,Industrial,331,0.42,2023-05-26,aktiv,Sperrgut,hoch
P096,Wohnaccessoires,Teppich,Industrial Teppich 97,MDF,Grau,Landhaus,345,0.4,2025-04-12,aktiv,Spedition,niedrig
P097,Wohnaccessoires,Vorhang,Landhaus Vorhang 98,Massivholz,Grün,Modern,106,0.35,2023-03-06,aktiv,Paket,hoch
P098,Wohnaccessoires,Vorhang,Skandinavisch Vorhang 99,Stoff,Grün,Modern,110,0.59,2023-12-13,aktiv,Sperrgut,mittel
P099,Wohnaccessoires,Spiegel,Minimalistisch Spiegel 100,Massivholz,Walnuss,Modern,261,0.47,2023-10-23,aktiv,Sperrgut,mittel
P100,Wohnaccessoires,Teppich,Minimalistisch Teppich 101,Massivholz,Walnuss,Skandinavisch,598,0.52,2023-02-20,aktiv,Sperrgut,mittel
